fund_name,website,ebitda_min,ebitda_max,ticket_min,ticket_max,revenue_min,revenue_max,primary_sectors,secondary_sectors,business_model_preference,preferred_characteristics,avoid,geography,transaction_type,notes,last_update,source_status,source_file,sector_focus_original
Artá Capital,http://www.artacapital.com/,,,,,,,Industry; Fashion; Services; Food & Beverage; Infrastructure; Energy; Technology; Healthcare; Consumer,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Industry; Fashion; Services; Food & Beverage; Infrastructure; Energy; Technology; Healthcare; Consumer
DEA CAPITAL,https://www.deacapital.com/?lang=en,5,15,,,,,Agri-food; Food & Beverage; Agriculture-related,Industrial with ESG trigger; Tech/pharma/education only opportunistically,Prefers secondary/professionalized companies for speed; can consider primary if well structured,Professionalized company; F&B core; ESG measurable improvement in industrials; transaction speed; reasonable valuation,Infra-like assets; renewables/biodiesel; very field/plantation-heavy agro; restaurant/QSR if already exposed; sectors where they cannot pay top multiples,Spain; Italy; Europe,Buyout; Majority,"Latest thesis suggests next fund roughly 50% F&B, 40% industrial with ESG trigger, 10% other.",2026-01-27,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,
GPF Partners,https://gpf-partners.com/,,,,,,,Technology; Industrial; Consumer; Tourism; Restaurants; Food & Beverage; Education; Agriculture,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Technology; Industrial; Consumer; Tourism; Restaurants; Food & Beverage; Education; Agriculture
Nexxus Iberia,https://nexxus-iberia.com/,3,10,20,30,,,Generalist; Climate action; Industrial; Healthcare; Business services; Technology,CDMO; Diagnostics; Climate-related businesses; Industry around agriculture,Mostly B2B; rare B2C; low leverage; 3-5 year projects,Climate action; B2B; Mexico and southern US expansion via partner; EBITDA from €3m to >€10m; low leverage x2-x2.5,Direct producers/agro commodity exposure; B2C such as Goiko; pistachio price dependence; expensive secondaries,Spain; Mexico; Southern US,Equity; Majority/Minority not specified,Fund of €240m raised at end of 2023. Equity ticket €20-30m. EBITDA from €3m to more than €10m.,2025-03-17,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Wellness; Education; Industrial; Logistics; Healthcare; Business Services; Technology
Tresmares Capital,https://www.tresmarescapital.com/en/,,,,,,,Generalist,Growth companies looking for first institutional investor; Healthcare selective,Minority fund; wants to be the first institutional fund; supports growth,No existing fund inside; no LBO process; first institutional capital; Spanish growth businesses,Companies already backed by a fund; active LBO processes; non-minority control situations,Spain currently; eventually UK; France; Portugal,Minority; Growth capital,No financial range stated in overview.,,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Food & Beverage; Industrial; Biotech; Technology; Cybersecurity
Portobello Cap.,http://www.portobellocapital.es/es/,,,,,,,Business Services; Industrial; Logistics; Retail; Consumer Products; Healthcare,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Business Services; Industrial; Logistics; Retail; Consumer Products; Healthcare
Torreal Capital,https://www.torreal.com/,,,,,,,Industry; Beauty; Technology; Infrastructure; Supplements; Education; Healthcare,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Industry; Beauty; Technology; Infrastructure; Supplements; Education; Healthcare
Alantra,https://www.alantra.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Diana Capital,http://www.dianacapital.com,,,,,,,Automotive; Outdoor lighting; Retail; Labeling; HVAC; Audiovisual production; Energy Sector; Steel foundry; Restaurants; Technology,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Automotive; Outdoor lighting; Retail; Labeling; HVAC; Audiovisual production; Energy Sector; Steel foundry; Restaurants; Technology
GLOBAL SOCIAL IMPACT,https://globalsocialimpact.es/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
PAI partners,http://www.paipartners.com/,,,,,,,Business Services; Food & Consumer; General Industrials; Healthcare,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Business Services; Food & Consumer; General Industrials; Healthcare
Proa Capital,http://proacapital.com/es/,,,,,,,Arts & Cfaft; Aeronautics; Ed-tech; Food & Beverage; Care del home; Retail; IT & Printing; Dental; Energy; Consumer; Healthcare; Services; Restaurants; Infrastructure,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Arts & Cfaft; Aeronautics; Ed-tech; Food & Beverage; Care del home; Retail; IT & Printing; Dental; Energy; Consumer; Healthcare; Services; Restaurants; Infrastructure
ARDIAN (FR),https://www.ardian.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Miura Private Equity,http://www.miuraequity.com/,,,,,,,Food & Beverage; Services; Industrial; Retail & Consumer; Healthcare; Impact; Buyouts,Industrial services with recurring maintenance; Technology selective; Defense selective; Agro as radar,Strong priority for primary deals; originates internally and with advisors; values privileged relationships,Primary opportunities; recurring/contractual maintenance; differentiated angle; opportunities where origination gives edge,Secondaries are harder for buyouts; high concentration; capex/equipment rental models; overvalued SaaS/tech; weak feedback from sellers; already exposed sectors,Spain; Europe,Buyout; Impact; Primary deals; Add-ons,"Overview was not completed with numeric criteria. Latest note emphasizes primary deals over the next 12 months, especially in buyouts.",2026-02-12,Filled from meeting notes / incomplete financials,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Food & Beverage; Services; Industrial; Retail & Consumer; Healthcare
Magnum Cap.,http://www.magnumpartners.com/,7,25,30,50,,,Healthcare; Industry; Education; B2B,Pharma; Hospitals; Healthcare services/products; Fire protection maintenance; Circular economy; Digitalization; Aerospace; Advertising/media selective,B2B preferred; tries to avoid B2C; build-up specialist; operational platform logic,Build-up potential; good margins ideally 20%; cash generation; cycle-resistant businesses; aging population; digitalization; circular economy,B2C; construction cyclicality; manufacturing-heavy small assets; tech disrupted by AI; low differentiation,Spain; France interest,Majority; Build-up; Platform/add-ons,Overview had no EBITDA range. Latest note indicates they usually look from about €7m to €25m EBITDA. Initial equity ticket €30m and can go to €50m.,2026-02-17,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Industry; Education; Research; Healthcare; Technology
Abac Capital,http://abaccapital.com/es/,,,,,,,Food & Beverage; Restaurants; Supplements; Consumer; Industry; Retail,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Food & Beverage; Restaurants; Supplements; Consumer; Industry; Retail
Suma Capital,http://sumacapital.com/,2,10,15,25,10,,Green/Sustainability; Social; Digital; Well-being; Sustainable infrastructure; Venture cleantech,Circular economy; Recycling; SaaS; Services with digital component; Healthcare/wellness; Education/social impact; Cleantech,Expansion capital; profitable and non-cash-consuming companies; founder-led; can do majority or minority,"Revenue >€10m; EBITDA >€2m; sweet spot €3-8m EBITDA, sometimes up to €10m; sustainable/ESG profile; cash generation; leverage 2x to <3x EBITDA",Real estate; financial services; excessive valuation; EBITDA >€10m usually competitive; auto cyclicality; weak defensibility/influencer dependence,Spain mainly; Italy and Portugal; Europe for sustainable infrastructure,Growth/Expansion; Majority; Minority; Venture cleantech; Infrastructure,"Fund 3 organized around Green/Sustainability, Digital, Wellness and Social. Expansion strategy targets revenue >€10m and EBITDA >€2m; latest note says sweet spot €3-8m EBITDA.",2026-01-23,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Industry; Education; Services; Software; Retail; Consumer
INCUS CAPITAL,https://incuscapital.com/es/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Espiga Capital,http://www.espiga.com/,,,,,,,Industry; Infrastructure; Services; IT,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Industry; Infrastructure; Services; IT
Realza Capital,http://www.realzacapital.com,,,,,,,Workwear; Food & Beverage; Beauty; Healthcare; Industry; Consumer,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Workwear; Food & Beverage; Beauty; Healthcare; Industry; Consumer
Sherpa Capital,https://www.sherpacapital.es/,,,,,,,Food & Beverage; Marketing & Ambience; Mental Health Centers; Sports Centers; Personal Care & Hygiene; Aesthetics & Healthcare; Furniture Manufacturing; Flexible Offices & Coworking; Lighting Industry; Wood Processing Industry; Plastics Industry; Electrochemical Industry; Printing & Graphic Arts Industry; Optical Industry; Logistics & Warehousing; Luxury Furniture & Decor; Public Bike-Sharing Operator; Security Services; Textiles & Apparel; Air Transportation; Wine Industry,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Food & Beverage; Marketing & Ambience; Mental Health Centers; Sports Centers; Personal Care & Hygiene; Aesthetics & Healthcare; Furniture Manufacturing; Flexible Offices & Coworking; Lighting Industry; Wood Processing Industry; Plastics Industry; Electrochemical Industry; Printing & Graphic Arts Industry; Optical Industry; Logistics & Warehousing; Luxury Furniture & Decor; Public Bike-Sharing Operator; Security Services; Textiles & Apparel; Air Transportation; Wine Industry
ADVENT CAPITAL,https://www.adventinternational.com/team/?country=Spain,,,,,,,"Business & Financial Services; Healthcare; Industrial; Retail, consumer & leisure; Technology",,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,"Business & Financial Services; Healthcare; Industrial; Retail, consumer & leisure; Technology"
BRIDGEPOINT,https://www.bridgepoint.eu/,,,,,,,Technology; Industrial; Consumer; Business & Financial Services; Healthcare,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Technology; Industrial; Consumer; Business & Financial Services; Healthcare
Gala Capital - BEKA FINANCE,https://www.bekafinance.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Queka Real Partners,https://quekarp.es/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
CINVEN - Pan European PE-,https://www.cinven.com/,,,,,,,Business Services; Consumer; Industrial; Financial Services; Healthcare; TMT,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Business Services; Consumer; Industrial; Financial Services; Healthcare; TMT
Acon Investments southern europe,http://aconinvestments.com/,,,,,,,Consumer; Industrial; Business Services; Financial Services; Healthcare,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Consumer; Industrial; Business Services; Financial Services; Healthcare
Asterion Industrial Partners,https://www.asterionindustrial.com/,,,,,,,Industry,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Industry
Carlac Capital Partners,https://carlac-capital.com/,,,,,,,Healthcare; Industry; Consumer; Transport & Logistics; Engineering y construction; Education,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Healthcare; Industry; Consumer; Transport & Logistics; Engineering y construction; Education
Investindustrial,https://www.investindustrial.com/,5,,,,,,Food; Agrifood; Healthcare services; Industry,Diagnostics; Healthcare services; Food value chain; Cross-border add-ons,Platforms minimum €5-6m EBITDA though small; add-ons can be smaller; competitive processes; pays market prices but not low-price strategy,Food value chain; healthcare services/diagnostics; industrial platforms; add-ons for portfolio; cross-border opportunities,Fertility/reproduction as already covered; emerging market exposure; restaurants in Spain; construction/demolition; pure consulting/services tech; IA-vulnerable legaltech,Spain; Europe; France/UK via team,Platform; Add-ons; Buyout,"Overview was to be completed. Latest note states platforms need minimum €5-6m EBITDA, although that is seen as small; add-ons may be smaller.",2026-01-12,Filled from meeting notes / overview incomplete,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,
EFIALIA,https://efialia.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
ABE Capital Partners,https://www.abe-cp.com/es,,,,,,,Healthcare; Industry; Circular Economy,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Healthcare; Industry; Circular Economy
Meridia Capital,http://www.meridiacapital.com/private-equity-investment/,,,,,,,Restaurants; Aeronautics; Pet food; Ingredients; Vet; Retail; Food & Beverage,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Restaurants; Aeronautics; Pet food; Ingredients; Vet; Retail; Food & Beverage
Formentor Capital,http://formentorcapital.com/capital-riesgo/,,,,,,,Telecommunications; Healthcare; Services; Infrastructure,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Telecommunications; Healthcare; Services; Infrastructure
Everwood capital,https://everwoodcapital.com/,,,,,,,Infrastructure; Renewable Energy; Logistics,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Infrastructure; Renewable Energy; Logistics
Axon Partners,https://axonpartnersgroup.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Ufenau capital partners,https://ucp.ch/en/about-us/,,,,,,,Business Services; Building security; Industrial; Services; Healthcare,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Business Services; Building security; Industrial; Services; Healthcare
Resilience Partners,https://www.resiliencepart.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Auriga Capital Investments,https://www.aurigasv.es/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Ecija,www.ecija.com,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Russell Bedford,www.russellbedford.es,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
ILV Silver,www.ilvsilver.com,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Clairfield International,www.clairfield.com,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Altamar,https://www.altamarcapital.com/,,,,,,,Multisector,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Multisector
Aurica Capital Desarrollo,https://www.auricacapital.com/,,,,,,,Services; Agri-food; Restaurants; Industry; Consumer,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Services; Agri-food; Restaurants; Industry; Consumer
Axis Participaciones,https://www.axispart.com/web/axis,,,,,,,Multisector,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Multisector
COFIDES,https://www.cofides.es/,,,,,,,Multisector,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Multisector
ENISA,https://www.enisa.es/,,,,,,,Multisector,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Multisector
GAEA,https://www.gaeainversion.com/,,,,,,,Retail; Teleco; Automotive; Insurance; Hotels; Biotech,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Retail; Teleco; Automotive; Insurance; Hotels; Biotech
KKR,https://www.kkr.com/,,,,,,,Healthcare; Industrials; Information Technology; Materials; Real Estate; Utilities; Communication services; Consumer discretionary; Consumer staples; Energy; Financials,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Healthcare; Industrials; Information Technology; Materials; Real Estate; Utilities; Communication services; Consumer discretionary; Consumer staples; Energy; Financials
Qualitas Funds,https://qualitasfunds.com/,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Arcano,https://www.arcanopartners.com/web/guest/private-equity,,,,,,,,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,
Fremman,,,,60,400,,,Healthcare; CDMOs; Biologics; Biopharma; Non-discretionary consumer; Business services; Construction materials,Pharma industrial; Tech/software for build-up; Cleanroom consumables; Imaging software add-ons,B2B preferred; non-discretionary/recurrent products; pan-European platforms; operational involvement,Recurring demand; products already developed; buy-and-build; exclusivity/preferred bidder; operational improvement; concise DD,Venture/R&D risk; discretionary consumer; heavy-balance financial services; real estate developers; crowded competitive auctions,Pan-European; Spain; France; Germany; Italy; UK selectively,Majority; Platform; Add-ons,Equity ticket €60-400m with €100-200m sweet spot. No clear EBITDA range in overview.,,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
Buenavista,,3,10,3,20,,,Industry; Packaging; Chemicals; Food; Retail franchises; Healthcare; Services with barriers to entry,Medical devices; Diagnostics; Advanced therapies; Digital health; CDMO; Technical education/certifications; Restaurants selective,"Generalist fund prefers B2B, majority; health growth can take minority/co-investment and pre-EBITDA companies",EBITDA margin above 15%; cash generation; internationalization potential; barriers such as certifications/assets/specialization; buy-and-build,Agro/field/plantation; pure manpower services without barriers; software with high multiples; too large >€13-15m EBITDA; additional restaurant exposure can be saturated,"Spain first, then Europe add-ons",Majority; Minority/co-investment in health growth; Buy-and-build,Generalist fund targets €3-7m EBITDA with objective to reach €10m and ~€20m tickets. Health growth tickets €3-15m and can consider companies without positive EBITDA.,2026-01-13,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
Montefiore,,5,60,,,,,Pure services; IT,Services industrials without manufacturing; high-growth add-ons below €5m possible,Pure-play services; strong growth; add-on logic for smaller assets,IT/service models; EBITDA above €5m unless very strong growth or add-on; service purity,Agroindustry; manufacturing/industry except pure services; EBITDA below €5m without strong growth; production assets,Spain; Europe,Buyout; Add-on,Document states no interest below €5m EBITDA unless growth dynamic is exceptional/add-on; maximum range €50-60m EBITDA.,,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
Tikehau,,10,50,10,50,,,Cybersecurity; Aerospace; Decarbonization; Energy/electrification value chain; Regenerative agriculture,Biocombustibles; CO2 management software; Fertilizers; Water cycle; Post-harvest; Sustainable agrifood; Agricultural machinery with environmental impact; Circular economy,B2B/white-label in agriculture; value chain access to producer; not direct producers; thematic funds,Environmental impact; energy transition value chain; aerospace; cybersecurity software; agriculture value chain/ingredients; pan-European platform,Greenfield; generation assets; direct agricultural producers; brands in agriculture; infra-like generation; pure healthcare without thematic angle,Europe; Spain; Germany; US; France,Thematic funds; Growth/buyout; Minority/majority not specified,"Overview lists cybersecurity tickets €10-50m, aerospace fund €700m, decarbonization fund and regenerative agriculture fund. Decarb note mentions €10-50m EBITDA/ticket range.",2025-05-21,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
Towerbrook,,12,50,,,,,Professional services; Business services; Industrial services; IT services; Digital transformation,Impact/ESG services; Certification/regulatory services; Asset-light services; Cash-generative structured minority situations,"Asset-light; services-oriented; multiple vehicles: control, impact, minority/structured",Control fund target ~€50m EBITDA; impact fund target ~€12m; minority/structured target €15-30m; high cash generation; ESG/regulatory services; asset light,Pure manufacturing/production; heavy assets; infra in impact fund; B2C restaurants/telecom; education without thesis; margins below expectations; too small below ~€10m,Spain; Europe; global,Majority/control; Impact; Minority/structured preferred instruments,"Meeting notes describe three vehicles: control around €50m EBITDA, impact around €12m EBITDA, minority/structured around €15-30m EBITDA.",2026-01-20,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
21 Invest,,5,10,70,100,,,Technology; Healthcare; Business Services,Hospitals; Diagnostics; Pharma supply chain; CROs; Regulatory services; Medical devices; Consumer health; SaaS/digital,Bilateral/direct origination preferred; selective healthcare; currently tech priority,EBITDA €5-10m; clear deal; risk controlled; tech with defensible moat; recurring revenue; high growth; France/Spain,Unclear/diversified assets; customer/supplier concentration; defense exit/liquidity restrictions; business services too large; AI-replicable software without moat,Spain; France,Buyout; Growth; Bilateral,"Overview lists deal value €70-100m and EBITDA €5-10m. Latest note says three verticals are Technology, Healthcare and Business Services, with technology as current practical priority.",2026-02-12,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
ISAI,,5,15,10,70,,,Technology; Digital,Spanish tech; SaaS; Software; Digital platforms,Tech-focused financial sponsor; prefers true tech in sweet spot; works on direct/bilateral processes,EBITDA €5-15m; digital/tech; attractive market; clear process; strong tech component; Spain/France fit,Non-tech dealflow; EBITDA €20-30m above range; narrow market; companies wanting trade-only buyers; unclear timing,France; Spain,Growth/buyout tech,Overview gives ticket €10-70m and EBITDA €5-15m. Latest note confirms €5-15m EBITDA sweet spot.,2026-01-12,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx,
AMETHIS,,2.5,7,,,,,Generalist,Tech selective; Media; Healthcare distribution; Industrial; Business services; Agriculture/energy selective,Generalist but constrained by size; small-cap; cautious on valuation,EBITDA €2.5-7m; playable deals in range; reasonable valuation; international potential; business not too domestic,Tech at excessive valuations; EBITDA above €7m already large; infra; too domestic education; auto-sector difficulty/low profitability; valuation above 5x in some industrial cases,Spain; Europe; emerging markets platform context,Buyout/growth; Minority/majority not specified,Overview says to be completed. Meeting note states sweet spot EBITDA €2.5-7m and generalist focus.,2026-01-26,Filled from meeting notes / overview incomplete,20250107 - CMI Espana - Meetings summary.docx,
